iter	RMSE
0	9.273488685
1	8.479536792
2	7.715349845
3	7.037333798
4	6.402172347
5	5.861798513
6	5.40176198
7	4.947827695
8	4.511837688
9	4.126367448
10	3.804370493
11	3.487277968
12	3.216513086
13	2.951308855
14	2.751851054
15	2.539807036
16	2.340003896
17	2.172679128
18	2.018429073
19	1.888620731
20	1.758239032
21	1.638809278
22	1.536782444
23	1.4540019
24	1.358426289
25	1.286097636
26	1.21247811
27	1.145487798
28	1.084395911
29	1.042892477
30	0.9919438909
31	0.9377801263
32	0.897762651
33	0.8545882253
34	0.8130612722
35	0.7929206479
36	0.7563743458
37	0.7476783198
38	0.7222785637
39	0.7072394176
40	0.6814800718
41	0.6645626828
42	0.6462005863
43	0.6390119749
44	0.622931797
45	0.606348977
46	0.5935123938
47	0.5868616307
48	0.5677400745
49	0.559032753
50	0.5439535901
51	0.5320569155
52	0.5229397481
53	0.5098878694
54	0.4996802275
55	0.4854962715
56	0.4729163045
57	0.4632496374
58	0.4568227919
59	0.451966435
60	0.4396561394
61	0.4374204232
62	0.4291812144
63	0.4155751917
64	0.4094551667
65	0.4063663153
66	0.3942659762
67	0.3898240791
68	0.3816017624
69	0.3743565243
70	0.3692293551
71	0.3648802881
72	0.3547842459
73	0.3477906421
74	0.3441366699
75	0.3364809787
76	0.3329401512
77	0.3256664806
78	0.3218978347
79	0.3158242513
80	0.3130936744
81	0.3072907461
82	0.3024679085
83	0.2962081243
84	0.2917775723
85	0.2883639179
86	0.2835058045
87	0.2810100446
88	0.2777282629
89	0.272873312
90	0.2701913626
91	0.2675670834
92	0.2646473668
93	0.2615189705
94	0.2581852659
95	0.2554828819
96	0.2527604239
97	0.2496054016
98	0.247190256
99	0.2435466287
100	0.2410030003
101	0.2383547812
102	0.2360966587
103	0.2343105471
104	0.2316343422
105	0.2291794577
106	0.2261089018
107	0.224067351
108	0.2225646901
109	0.22152162
110	0.2191547214
111	0.21709222
112	0.2154862834
113	0.2140063476
114	0.2123223324
115	0.2103523276
116	0.2082438116
117	0.2069623629
118	0.2045261181
119	0.2010278964
120	0.1993987136
121	0.1979131247
122	0.1961911225
123	0.1953159992
124	0.1938613105
125	0.1923190237
126	0.1898043029
127	0.1882756191
128	0.1867836161
129	0.18538876
130	0.1839671398
131	0.1828457828
132	0.1807116206
133	0.1802008252
134	0.1787967439
135	0.1776139215
136	0.1755505936
137	0.1738245842
138	0.1721718906
139	0.1710150346
140	0.1701177342
141	0.1688140776
142	0.1674259198
143	0.1666078974
144	0.1653058602
145	0.1642652935
146	0.1632698855
147	0.1625166854
148	0.1609812655
149	0.1601112956
150	0.1586628801
151	0.1573519873
152	0.1564130651
153	0.1556320681
154	0.1545858028
155	0.1538777661
156	0.1529093063
157	0.1522940272
158	0.151330449
159	0.1506481614
160	0.1500187181
161	0.1493804101
162	0.1480555602
163	0.1464289352
164	0.1458031997
165	0.1449903829
166	0.1442746123
167	0.1434462151
168	0.1426758573
169	0.1418636301
170	0.1408260714
171	0.1401465668
172	0.1396385017
173	0.1388155696
174	0.1378157428
175	0.1373991079
176	0.1367681389
177	0.1362778166
178	0.1352379815
179	0.1345375844
180	0.1334781925
181	0.1329919071
182	0.1324542208
183	0.1319121465
184	0.1314930928
185	0.1302048781
186	0.1290813688
187	0.1280811595
188	0.1273528731
189	0.126815612
190	0.1257170989
191	0.125340622
192	0.1244813564
193	0.1237872649
194	0.1231693725
195	0.1226085725
