check,repeat,ari
leave_one_out,158,1.0
leave_one_out,159,1.0
leave_one_out,160,1.0
leave_one_out,161,1.0
leave_one_out,162,1.0
leave_one_out,163,1.0
leave_one_out,164,1.0
leave_one_out,165,1.0
leave_one_out,166,1.0
leave_one_out,167,1.0
leave_one_out,168,1.0
leave_one_out,169,1.0
leave_one_out,170,1.0
leave_one_out,171,1.0
leave_one_out,172,1.0
leave_one_out,173,1.0
leave_one_out,174,1.0
leave_one_out,175,1.0
leave_one_out,176,1.0
leave_one_out,177,1.0
leave_one_out,178,0.9847288671079473
leave_one_out,179,1.0
leave_one_out,180,1.0
leave_one_out,181,1.0
leave_one_out,182,0.9847288671079473
leave_one_out,183,1.0
leave_one_out,184,1.0
leave_one_out,185,1.0
leave_one_out,186,1.0
leave_one_out,187,1.0
leave_one_out,188,0.9847288671079473
leave_one_out,189,1.0
leave_one_out,190,0.9847288671079473
leave_one_out,191,1.0
leave_one_out,192,0.9847288671079473
leave_one_out,193,1.0
leave_one_out,194,0.9847288671079473
leave_one_out,195,1.0
leave_one_out,196,0.9847288671079473
leave_one_out,197,1.0
leave_one_out,198,0.9847288671079473
leave_one_out,199,1.0
