id,repeat,ari,assigned_ari,coverage,same_k,noise_agreement,error
36,0,0.9805135503765641,0.9805135503765641,1.0,True,1.0,
36,1,0.9833542519940582,0.9833542519940582,1.0,True,1.0,
36,2,1.0,1.0,1.0,True,1.0,
36,3,0.9280353254016177,0.9280353254016177,1.0,True,1.0,
36,4,1.0,1.0,1.0,True,1.0,
36,5,1.0,1.0,1.0,True,1.0,
36,6,1.0,1.0,1.0,True,1.0,
36,7,0.9438190336873794,0.9438190336873794,1.0,True,1.0,
36,8,1.0,1.0,1.0,True,1.0,
36,9,1.0,1.0,1.0,True,1.0,
36,10,0.9809295981975095,0.9809295981975095,1.0,True,1.0,
36,11,0.9805908854025188,0.9805908854025188,1.0,True,1.0,
36,12,0.9453639891121793,0.9453639891121793,1.0,True,1.0,
36,13,1.0,1.0,1.0,True,1.0,
36,14,1.0,1.0,1.0,True,1.0,
36,15,0.9446131301572523,0.9446131301572523,1.0,True,1.0,
36,16,0.9301694486907638,0.9301694486907638,1.0,True,1.0,
36,17,1.0,1.0,1.0,True,1.0,
36,18,0.9262798895395262,0.9262798895395262,1.0,True,1.0,
36,19,1.0,1.0,1.0,True,1.0,
342,0,1.0,1.0,1.0,True,1.0,
342,1,0.9833542519940582,0.9833542519940582,1.0,True,1.0,
342,2,1.0,1.0,1.0,True,1.0,
342,3,0.9644787067069626,0.9644787067069626,1.0,True,1.0,
342,4,0.9645735383257014,0.9645735383257014,1.0,True,1.0,
342,5,1.0,1.0,1.0,True,1.0,
342,6,0.9808156014545617,0.9808156014545617,1.0,True,1.0,
342,7,0.980947792571829,0.980947792571829,1.0,True,1.0,
342,8,0.9636781092947799,0.9636781092947799,1.0,True,1.0,
342,9,0.981071342554104,0.981071342554104,1.0,True,1.0,
342,10,0.9827802150968938,0.9827802150968938,1.0,True,1.0,
342,11,0.9639100936745363,0.9639100936745363,1.0,True,1.0,
342,12,0.9815214267925901,0.9815214267925901,1.0,True,1.0,
342,13,1.0,1.0,1.0,True,1.0,
342,14,1.0,1.0,1.0,True,1.0,
342,15,0.9627984108994156,0.9627984108994156,1.0,True,1.0,
342,16,0.96515682106063,0.96515682106063,1.0,True,1.0,
342,17,1.0,1.0,1.0,True,1.0,
342,18,0.963800027614707,0.963800027614707,1.0,True,1.0,
342,19,1.0,1.0,1.0,True,1.0,
46,0,0.8730016725153453,0.8730016725153453,1.0,True,1.0,
46,1,0.9255571133804741,0.9255571133804741,1.0,True,1.0,
46,2,1.0,1.0,1.0,True,1.0,
46,3,1.0,1.0,1.0,True,1.0,
46,4,1.0,1.0,1.0,True,1.0,
46,5,0.9102912586603987,0.9102912586603987,1.0,True,1.0,
46,6,0.5797561604566817,0.5797561604566817,1.0,True,1.0,
46,7,1.0,1.0,1.0,True,1.0,
46,8,1.0,1.0,1.0,True,1.0,
46,9,1.0,1.0,1.0,True,1.0,
46,10,0.9836686320405321,0.9836686320405321,1.0,True,1.0,
46,11,0.8903481595882276,0.8903481595882276,1.0,True,1.0,
46,12,0.9116731657149848,0.9116731657149848,1.0,True,1.0,
46,13,1.0,1.0,1.0,True,1.0,
46,14,0.8907041537371083,0.8907041537371083,1.0,True,1.0,
46,15,0.8773111882568239,0.8773111882568239,1.0,True,1.0,
46,16,0.9657291719239737,0.9657291719239737,1.0,True,1.0,
46,17,0.9074847159189995,0.9074847159189995,1.0,True,1.0,
46,18,1.0,1.0,1.0,True,1.0,
46,19,1.0,1.0,1.0,True,1.0,
41,0,1.0,1.0,1.0,True,1.0,
41,1,0.9255571133804741,0.9255571133804741,1.0,True,1.0,
41,2,0.9657202526368287,0.9657202526368287,1.0,True,1.0,
41,3,1.0,1.0,1.0,True,1.0,
41,4,0.9673355420925528,0.9673355420925528,1.0,True,1.0,
41,5,1.0,1.0,1.0,True,1.0,
