id,scope,representation,family,params,status,warning,bic,aic,k,coverage,min_size,max_size,silhouette,ref_silhouette,db,ch,penalized,eligible
376,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 7, ""threshold"": 0.2}",ok,Number of subclusters found (4) by BIRCH is less than (7). Decrease the threshold.,,,4,1.0,35,88,0.42489722779469047,0.42009143297105594,0.9054176896314312,158.02624230116587,0.42009143297105594,True
377,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 7, ""threshold"": 0.5}",ok,Number of subclusters found (1) by BIRCH is less than (7). Decrease the threshold.,,,1,1.0,200,200,,,,,-inf,False
378,behavior,behavior/minmax/cat=0.5,KMeans,"{""n_clusters"": 8}",ok,,,,8,1.0,10,44,0.42983975856498574,0.4524258099235098,0.7640050256897488,266.6439234244174,0.4524258099235098,True
379,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""full"", ""n_components"": 8}",ok,,-65.22786261524647,-220.24877884300417,8,1.0,7,85,0.4836592138669113,0.46421846536087913,0.7216646151001413,190.03492192196455,0.46421846536087913,True
380,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""tied"", ""n_components"": 8}",ok,,-111.643102987097,-197.39935451734593,8,1.0,6,84,0.5010890155165683,0.5019619247833944,0.6887916351960619,230.9823776449209,0.5019619247833944,True
381,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""diag"", ""n_components"": 8}",ok,,-82.6389600358693,-211.27333733124271,8,1.0,9,79,0.49350470095160387,0.4789033434723474,0.6939702422012504,198.75106872807282,0.4789033434723474,True
382,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 8}",ok,,-112.70879042147232,-214.95662878446143,8,1.0,10,78,0.4808759860258969,0.4740508273304493,0.6746739155644683,195.06952318305736,0.4740508273304493,True
383,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 8}",ok,,,,8,1.0,4,59,0.41055127971395405,0.41757610210523666,0.7330464944191317,232.80861552102775,0.41757610210523666,False
384,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""complete"", ""n_clusters"": 8}",ok,,,,8,1.0,4,75,0.4794477897615473,0.4841620563512716,0.7407501818209148,214.7238325330387,0.4841620563512716,False
385,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""average"", ""n_clusters"": 8}",ok,,,,8,1.0,3,79,0.5138903018792489,0.517584676816499,0.5812372821570633,222.3069661577083,0.517584676816499,False
386,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 8, ""n_neighbors"": 10}",ok,"Graph is not fully connected, spectral embedding may not work as expected.",,,8,1.0,12,39,0.3953115780473755,0.365980277994378,0.892734886965633,187.57966459323356,0.365980277994378,True
387,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 8, ""n_neighbors"": 20}",ok,,,,8,1.0,20,39,0.39577160654667637,0.3795707870975346,0.7843827526596547,179.7517204377516,0.3795707870975346,True
388,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 8, ""threshold"": 0.2}",ok,Number of subclusters found (4) by BIRCH is less than (8). Decrease the threshold.,,,4,1.0,35,88,0.42489722779469047,0.42009143297105594,0.9054176896314312,158.02624230116587,0.42009143297105594,True
389,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 8, ""threshold"": 0.5}",ok,Number of subclusters found (1) by BIRCH is less than (8). Decrease the threshold.,,,1,1.0,200,200,,,,,-inf,False
390,behavior,behavior/minmax/cat=0.5,KMeans,"{""n_clusters"": 9}",ok,,,,9,1.0,10,45,0.4417217944852612,0.4559906806231531,0.7619622826187067,270.02847672847815,0.4559906806231531,True
391,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""full"", ""n_components"": 9}",ok,,-49.2285999375203,-224.03942036456624,9,1.0,9,49,0.39697156511341225,0.3994968952912052,0.9722198034590576,196.7766360649427,0.3994968952912052,True
392,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""tied"", ""n_components"": 9}",ok,,-102.88845088957717,-198.53965451947022,9,1.0,6,79,0.49148904637589086,0.4876251644652021,0.6921419835120576,235.46865700860536,0.4876251644652021,True
393,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""diag"", ""n_components"": 9}",ok,,-73.21055866628677,-218.33652279440037,9,1.0,11,59,0.34850457707235555,0.3570953377410822,0.8651903207919789,223.28452401464762,0.3570953377410822,True
394,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 9}",ok,,-94.9291577829766,-210.37026561215788,9,1.0,6,78,0.45512908084095244,0.4518470173285645,0.6848998139928987,232.08771954190257,0.4518470173285645,True
395,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 9}",ok,,,,9,1.0,4,59,0.4177210331066167,0.4160601877940988,0.7376108194414555,232.8656686390365,0.4160601877940988,False
396,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""complete"", ""n_clusters"": 9}",ok,,,,9,1.0,4,75,0.44527812599841154,0.44472820197694446,0.8036101950939663,208.7390403540556,0.44472820197694446,False
397,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""average"", ""n_clusters"": 9}",ok,,,,9,1.0,3,79,0.4965642877837051,0.49238048623508307,0.715335205259881,216.58729806631302,0.49238048623508307,False
398,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 9, ""n_neighbors"": 10}",ok,"Graph is not fully connected, spectral embedding may not work as expected.",,,9,1.0,12,31,0.3950421596177964,0.37034486677202266,0.9104191004970317,180.9895809998904,0.37034486677202266,True
399,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 9, ""n_neighbors"": 20}",ok,,,,9,1.0,17,31,0.37589187423449955,0.3514177883283135,0.9500879447839488,172.97612515186424,0.3514177883283135,True
400,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 9, ""threshold"": 0.2}",ok,Number of subclusters found (4) by BIRCH is less than (9). Decrease the threshold.,,,4,1.0,35,88,0.42489722779469047,0.42009143297105594,0.9054176896314312,158.02624230116587,0.42009143297105594,True
401,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 9, ""threshold"": 0.5}",ok,Number of subclusters found (1) by BIRCH is less than (9). Decrease the threshold.,,,1,1.0,200,200,,,,,-inf,False
402,behavior,behavior/minmax/cat=0.5,KMeans,"{""n_clusters"": 10}",ok,,,,10,1.0,9,44,0.44563877983976935,0.44150499733198273,0.7410520064182441,264.8022947148782,0.44150499733198273,True
403,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""full"", ""n_components"": 10}",ok,,-26.733654319943355,-221.33437894627752,10,1.0,9,52,0.3485213906461665,0.34389554712841514,0.9280362611806282,201.71842712028732,0.34389554712841514,True
404,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""tied"", ""n_components"": 10}",ok,,-105.30300284812054,-210.8491585776577,10,1.0,4,83,0.47635483895182135,0.45961906561672805,0.7775386921040326,214.98556533897658,0.45961906561672805,False
405,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""diag"", ""n_components"": 10}",ok,,-58.56532565626776,-220.18287661712156,10,1.0,11,28,0.3785647593144796,0.3835077743421946,0.8856979506432936,223.3430706375279,0.3835077743421946,True
406,behavior,behavior/minmax/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 10}",ok,,-95.84407019932658,-224.4784474947,10,1.0,6,79,0.4383854041005696,0.42342041015414394,0.8285508932564232,188.1591106199464,0.42342041015414394,True
407,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 10}",ok,,,,10,1.0,4,59,0.42320643020741444,0.41089226975939697,0.7320083527435155,230.53242812320738,0.41089226975939697,False
