iter	Logloss
0	0.6784258419
1	0.6629155641
2	0.6452610377
3	0.6310741055
4	0.6123273011
5	0.5974267866
6	0.5802973011
7	0.5643756768
8	0.5493321342
9	0.5366176386
10	0.5220234896
11	0.5056667263
12	0.4930920263
13	0.4795634787
14	0.4698948274
15	0.457509982
16	0.4477877369
17	0.4344184635
18	0.4246929288
19	0.4132253723
20	0.403141944
21	0.3948620538
22	0.3872000345
23	0.3773334082
24	0.369703409
25	0.3603245989
26	0.3537312402
27	0.3470724921
28	0.3393745031
29	0.3319356538
30	0.3242715957
31	0.3174528274
32	0.3097400963
33	0.304741695
34	0.2983714544
35	0.2930118113
36	0.2869957474
37	0.281989279
38	0.276585529
39	0.2696596639
40	0.2644499531
41	0.2585639355
42	0.2534902218
43	0.2480705061
44	0.2435823783
45	0.2393802025
46	0.2344903869
47	0.2309735199
48	0.2263144746
49	0.220828402
50	0.2162663522
51	0.2111179454
52	0.2074872867
53	0.2029271719
54	0.1985372178
55	0.1959903676
56	0.1927600131
57	0.1891748837
58	0.1856075821
59	0.1827620616
60	0.1793986898
61	0.176480649
62	0.1735088677
63	0.1698867456
64	0.1670018083
65	0.1637955855
66	0.161091858
67	0.1570742082
68	0.1545915826
69	0.1521679489
70	0.1494468862
71	0.1466019653
72	0.1436118219
73	0.1410268946
74	0.1380174029
75	0.135753638
76	0.1331012141
77	0.1306513837
78	0.1283489306
79	0.1263968918
80	0.1245787125
81	0.1220474667
82	0.120263618
83	0.1190291166
84	0.1172406361
85	0.115127844
86	0.1133510828
87	0.1114555205
88	0.109241747
89	0.1068258007
90	0.1055998
91	0.1046275788
92	0.1033822169
93	0.1018628586
94	0.09998697567
95	0.09845681738
96	0.09711496337
97	0.09633075274
98	0.09439131924
99	0.09261111223
100	0.09127377337
101	0.08990081623
102	0.08863525351
103	0.0874866087
104	0.08633409395
105	0.08514181743
106	0.08371343957
107	0.08262435566
108	0.08128969066
109	0.08042600953
110	0.07946091167
111	0.0784952024
112	0.07736034521
113	0.07648036986
114	0.07560204642
115	0.07454749983
116	0.0732301963
117	0.07201573382
118	0.07090810099
119	0.06997180007
120	0.06900712757
121	0.06839837842
122	0.06759776596
123	0.06687973361
124	0.06581151695
125	0.06499298863
126	0.06440718136
127	0.06360292501
128	0.06302027574
129	0.06234295618
130	0.06137692829
