iter	Passed	Remaining
480	691	746
481	692	744
482	694	743
483	695	741
484	696	740
485	698	738
486	699	736
487	700	735
488	702	733
489	703	732
490	705	731
491	707	730
492	708	729
493	710	727
494	711	725
495	712	724
496	714	722
497	715	721
498	716	719
499	718	718
500	719	716
501	721	715
502	722	714
503	724	712
504	725	711
505	726	709
506	728	708
507	729	706
508	730	704
509	732	703
510	733	701
511	734	700
512	736	699
513	738	698
514	739	696
515	741	695
516	742	693
517	743	692
518	745	690
519	746	689
520	747	687
521	749	685
522	750	684
523	751	683
524	753	681
525	755	680
526	756	678
527	757	677
528	759	675
529	760	674
530	761	672
531	763	671
532	764	669
533	765	668
534	767	666
535	768	665
536	770	664
537	772	663
538	774	662
539	775	660
540	777	659
541	778	657
542	779	656
543	781	654
544	782	653
545	784	651
546	785	650
547	787	649
548	788	647
549	789	646
550	791	644
551	792	643
552	793	641
553	795	640
554	796	638
555	797	637
556	799	635
557	800	634
558	802	633
559	804	632
560	805	630
561	807	629
562	808	627
563	809	626
564	811	624
565	812	622
566	813	621
567	815	619
568	816	618
569	818	617
570	819	616
571	821	614
572	822	613
573	823	611
574	825	609
575	826	608
576	827	606
577	829	605
578	830	603
579	832	602
580	834	601
581	835	600
582	836	598
583	838	597
584	839	595
585	841	594
586	842	592
587	843	591
588	844	589
589	846	588
590	848	586
591	850	585
592	851	584
593	852	582
594	854	581
595	855	579
596	856	578
597	857	576
598	859	575
599	860	573
600	861	572
601	863	570
602	864	569
603	866	568
604	867	566
605	869	565
606	870	563
607	871	562
608	873	560
609	874	559
610	875	557
611	877	556
612	878	554
613	880	553
614	881	552
615	883	550
616	884	549
617	885	547
618	887	546
619	888	544
620	889	543
621	891	541
622	892	540
623	893	538
624	895	537
625	897	536
626	898	534
627	900	533
628	901	532
629	903	530
630	904	529
631	905	527
632	907	526
633	908	524
634	910	523
635	912	521
636	913	520
637	915	519
638	916	517
639	917	516
640	919	514
641	920	513
642	921	511
643	923	510
644	924	508
645	925	507
646	927	505
647	928	504
648	930	503
649	932	501
650	933	500
651	934	498
652	936	497
653	937	495
654	938	494
655	940	492
656	941	491
657	942	490
658	944	488
659	946	487
660	947	485
661	948	484
662	950	482
663	951	481
664	952	479
665	954	478
666	955	476
667	956	475
668	958	474
669	959	472
670	961	471
671	962	469
672	964	468
673	965	466
674	966	465
675	968	463
676	969	462
677	970	461
678	972	459
679	973	458
680	975	456
681	976	455
682	978	454
683	980	452
684	981	451
685	982	449
686	983	448
687	985	446
688	986	445
689	987	443
690	989	442
691	990	440
692	992	439
693	994	438
694	995	436
695	996	435
696	998	433
697	999	432
698	1000	431
699	1002	429
700	1003	428
701	1004	426
702	1006	425
703	1007	423
704	1009	422
705	1011	421
706	1013	419
707	1014	418
708	1015	416
709	1017	415
710	1018	414
711	1019	412
712	1021	411
713	1022	409
714	1024	408
715	1025	406
716	1027	405
717	1028	404
718	1030	402
719	1031	401
720	1032	399
721	1034	398
722	1035	396
723	1036	395
724	1038	393
725	1039	392
726	1041	391
727	1043	389
728	1044	388
729	1046	386
