iter	Passed	Remaining
0	2	2735
1	4	2191
2	5	1930
3	7	1794
4	8	1757
5	10	1750
6	12	1723
7	14	1766
8	15	1747
9	18	1815
10	20	1834
11	21	1810
12	23	1791
13	25	1762
14	26	1749
15	28	1737
16	29	1728
17	31	1712
18	33	1721
19	35	1719
20	36	1722
21	38	1714
22	40	1703
23	41	1675
24	42	1661
25	44	1651
26	45	1643
27	47	1637
28	50	1683
29	52	1695
30	54	1691
31	55	1685
32	57	1681
33	58	1674
34	60	1672
35	62	1661
36	64	1678
37	67	1698
38	68	1697
39	70	1687
40	71	1681
41	73	1671
42	74	1662
43	76	1652
44	77	1641
45	79	1643
46	81	1651
47	82	1644
48	84	1636
49	85	1629
50	87	1625
51	88	1617
52	90	1609
53	91	1599
54	92	1593
55	94	1596
56	97	1605
57	98	1599
58	99	1592
59	101	1588
60	102	1581
61	104	1573
62	105	1566
63	106	1557
64	107	1549
65	108	1540
66	110	1544
67	113	1551
68	114	1547
69	115	1540
70	117	1537
71	118	1529
72	119	1522
73	120	1514
74	122	1506
75	123	1499
76	124	1493
77	126	1493
78	128	1497
79	130	1497
80	131	1495
81	133	1489
82	134	1484
83	135	1477
84	136	1472
85	138	1466
86	139	1461
87	140	1455
88	142	1455
89	144	1458
90	145	1455
91	147	1451
92	148	1446
93	149	1441
94	150	1435
95	151	1430
96	153	1425
97	154	1420
98	155	1414
99	156	1408
100	158	1411
101	160	1414
102	161	1409
103	163	1404
104	164	1399
105	165	1394
106	166	1389
107	167	1384
108	168	1379
109	169	1374
110	171	1369
111	172	1365
112	173	1365
113	176	1368
114	177	1364
115	178	1360
116	179	1356
117	180	1351
118	181	1347
119	183	1342
120	184	1338
121	185	1334
122	186	1330
123	187	1326
124	189	1323
125	190	1322
126	192	1324
127	193	1321
128	195	1317
129	196	1313
130	197	1309
131	198	1305
132	199	1301
133	200	1298
134	201	1294
135	203	1290
136	204	1286
137	205	1281
138	207	1283
139	208	1282
140	210	1279
141	211	1275
142	212	1272
143	213	1269
144	214	1265
145	215	1262
146	217	1259
147	218	1255
148	219	1252
149	220	1249
150	221	1248
151	223	1247
152	224	1244
153	226	1241
154	227	1238
155	228	1235
156	229	1232
157	230	1229
158	231	1226
159	232	1222
160	234	1219
161	235	1216
162	236	1214
163	238	1214
164	239	1213
165	241	1210
166	242	1208
167	243	1205
168	244	1202
169	245	1199
170	246	1196
171	247	1193
172	249	1190
173	250	1187
174	251	1184
175	252	1183
176	254	1184
177	256	1184
178	257	1181
179	258	1179
180	259	1176
181	261	1173
182	262	1171
183	263	1168
184	264	1165
185	265	1163
186	266	1160
187	268	1158
188	269	1157
189	271	1156
190	272	1154
191	273	1151
192	274	1149
193	276	1146
194	277	1144
195	278	1141
196	279	1139
197	280	1136
198	281	1134
199	283	1132
200	284	1129
201	286	1129
202	287	1128
203	288	1126
204	289	1123
205	290	1121
206	292	1119
207	293	1116
208	294	1114
209	295	1112
210	296	1109
211	298	1107
212	299	1105
213	300	1103
214	302	1104
215	303	1102
216	304	1100
217	306	1097
218	307	1095
219	308	1093
220	309	1091
221	310	1088
222	311	1086
223	313	1084
224	314	1082
225	315	1080
226	316	1078
227	318	1078
228	319	1077
229	321	1075
230	322	1073
231	323	1071
232	324	1068
233	325	1066
234	327	1065
235	329	1065
236	330	1063
237	331	1062
238	333	1062
239	335	1062
240	337	1061
241	338	1059
242	339	1057
243	340	1055
244	341	1053
245	343	1051
246	344	1049
247	345	1047
248	346	1045
249	347	1042
250	349	1041
251	351	1041
252	352	1040
253	353	1039
254	355	1037
255	356	1036
256	357	1034
257	358	1032
258	359	1029
259	361	1027
260	362	1025
261	363	1023
262	364	1022
263	366	1022
264	368	1021
265	369	1019
266	370	1017
267	371	1015
268	373	1013
269	374	1011
270	375	1009
271	376	1007
272	377	1005
273	378	1003
274	380	1002
275	381	1001
276	383	1000
277	384	999
278	385	997
279	387	995
280	388	993
281	389	991
282	390	989
283	391	987
284	392	985
285	393	983
286	395	981
287	396	979
288	398	979
289	400	979
290	401	978
291	402	976
